occupationUri,occupationLabel,relationType,skillType,skillUri,skillLabel
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,knowledge,http://data.europa.eu/esco/skill/48f480aa-c9a8-4552-b1c5-e94330912257,road traffic laws
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,knowledge,http://data.europa.eu/esco/skill/575f79e8-8500-4ddf-91ec-5e6de73d35a3,mechanical components of vehicles
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,knowledge,http://data.europa.eu/esco/skill/74ad37e3-325b-4ccd-ab2a-04f7696750e8,health and safety measures in transportation
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,knowledge,http://data.europa.eu/esco/skill/a1be36ca-a753-4143-98c3-09ede5e60057,transport topography
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,knowledge,http://data.europa.eu/esco/skill/b54545e6-637c-43a2-8ab2-9efd5f9e2d38,passenger transport regulations
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/08365fba-e874-497b-aa9a-1c09d2aecd4d,focus on passengers
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,communicate with customers
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342,apply conflict management
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/144318ce-d147-49fb-ae0b-3c5a9a677c14,control the performance of the vehicle
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/17894c11-a75e-4356-898f-feca10395d65,help to control passenger behaviour during emergency situations
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,essential,skill/competence,http://data.europa.eu/esco/skill/1d21f6ad-340f-45da-a0a3-4e83867f47a6,provide first aid
